label,score
1,1.80945337
1,2.55108070
1,2.46905518
1,3.40038586
1,3.99910307
1,3.99944949
1,3.52782154
1,3.72334957
1,3.60084105
1,4.02818823
1,3.50254989
1,4.26098061
1,3.67320585
1,2.43924475
1,1.34022665
1,2.38771701
1,4.22191715
1,2.60857177
1,3.50613332
1,2.53740406
1,2.71208858
1,2.02030897
1,2.07792974
1,1.84058464
1,2.50204968
1,3.91469908
1,3.67834139
1,2.53911924
1,3.61277103
1,1.96733201
1,4.10705233
1,3.24553752
1,3.34658265
1,3.12413454
1,3.79026747
1,3.16871142
1,2.54343414
1,4.18160343
1,3.45697069
1,4.06666422
1,2.76775908
1,2.94783235
1,3.01419878
1,3.51357293
1,3.20822048
1,3.37034941
1,2.83303165
1,2.37764454
1,4.54550362
1,3.24329853
1,2.11573505
1,4.01263762
1,3.37320995
1,2.96290612
1,2.53381395
1,2.19782043
1,2.52085471
1,3.84102535
1,4.42793989
1,2.72732210
1,3.11337662
1,3.08683610
1,2.10186291
1,3.64217210
1,3.28162909
1,4.37426758
1,2.33981609
1,3.93444443
1,3.19685364
1,2.49870133
1,3.23599052
1,1.35848367
1,2.50110507
1,2.59879303
1,3.98924422
1,3.09385395
1,3.26311255
1,3.59074068
1,2.33958697
1,4.30382872
1,3.68213940
1,2.86138582
1,2.22493482
1,3.94739437
1,3.19757748
1,3.12221217
1,3.38695908
1,5.03621340
1,4.51183748
1,3.15903354
1,1.99873984
1,2.88115048
1,1.15575957
1,2.54956698
1,2.18180656
1,3.17783689
1,2.72138882
1,2.13008547
1,2.64437938
1,3.44844341
1,2.57004666
1,2.79509735
1,2.69683242
1,3.03061366
1,2.77284861
1,3.31637144
1,4.30058241
1,3.75265503
1,3.38352990
1,3.75655866
1,2.61640191
1,3.79870439
1,2.95748281
1,3.18406248
1,2.44277191
1,2.52570176
1,1.89306307
1,4.33738470
1,2.40908694
1,2.61903834
1,3.18767262
1,3.41157174
1,2.01403761
1,3.82876706
1,2.71587467
1,3.26905990
1,4.17907047
1,2.54842710
1,2.31893039
1,3.35358214
1,3.38993001
1,3.48210430
1,3.53296590
1,3.11222792
1,3.05186510
1,3.54265261
1,2.30744982
1,3.51040411
1,2.48896003
1,2.82653904
1,3.37564325
1,2.85527468
1,2.36669159
1,3.23757648
1,3.63594651
1,2.85040283
1,2.58579350
1,3.47631550
1,3.00841618
1,3.70906925
1,2.76459861
1,3.54126620
1,1.78570914
1,4.62340927
1,2.49726391
1,3.11593723
1,2.34094667
1,3.15160966
1,3.30316663
1,3.29877543
1,3.78933978
1,2.89282131
1,2.56167650
1,2.75425601
1,3.14579868
1,2.51359558
1,3.65620518
1,2.66256285
1,3.08123732
1,1.95736396
1,3.44087696
1,2.25892353
1,4.75356102
1,3.58006835
1,2.90026093
1,2.82739353
1,3.18789124
1,3.93220019
1,2.99995756
1,3.86052275
1,2.61316967
1,3.22392058
1,2.55818987
1,2.05024362
1,2.17543840
1,1.96938241
1,2.43801999
1,3.55100346
1,2.74505496
1,2.89294553
1,2.24807072
1,4.13027716
1,3.69900727
